,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
166,22021,11,15,16,18,35,06,09
167,22020,16,17,30,31,35,08,09
168,22019,01,04,07,17,21,01,02
169,22018,16,21,29,31,34,06,09
170,22017,10,14,18,23,25,07,11
171,22016,01,07,17,26,32,01,09
172,22015,01,02,08,12,30,05,12
173,22014,01,04,10,18,32,01,09
174,22013,04,09,16,25,32,05,06
175,22012,03,05,10,33,34,07,10
176,22011,03,05,17,24,32,05,12
177,22010,04,19,25,31,35,02,11
178,22009,13,14,18,31,33,07,10
179,22008,01,02,13,18,34,06,07
180,22007,05,22,23,25,35,03,11
181,22006,01,05,07,17,20,05,12
182,22005,02,13,17,19,34,05,09
183,22004,07,20,27,30,33,03,04
184,22003,02,18,24,25,34,08,12
185,22002,04,06,07,09,24,04,12
186,22001,08,11,19,22,29,03,11
187,21150,04,10,11,23,26,07,10
188,21149,20,26,28,30,35,10,11
189,21148,01,04,12,16,29,04,08
190,21147,01,02,08,12,26,01,07
191,21146,03,05,08,18,20,09,11
192,21145,03,08,25,29,30,01,06
193,21144,03,20,25,30,34,02,09
194,21143,09,17,19,29,34,04,11
195,21142,11,13,17,19,25,02,09
196,21141,02,08,16,29,34,05,12
197,21140,05,24,26,33,35,09,12
198,21139,05,13,18,23,34,08,09
199,21138,09,11,12,15,31,05,11
200,21137,02,07,13,14,19,04,05
201,21136,08,12,19,27,33,02,05
202,21135,04,07,17,29,31,05,06
203,21134,02,06,14,19,28,01,06
204,21133,08,09,17,26,28,06,08
205,21132,04,21,28,29,33,03,11
206,21131,06,08,16,34,35,05,06
207,21130,02,03,14,27,28,05,10
208,21129,02,16,17,18,34,04,10
209,21128,14,17,18,23,27,05,08
210,21127,01,02,15,17,26,02,11
211,21126,01,11,12,34,35,09,12
212,21125,17,19,21,27,31,04,09
213,21124,10,17,22,25,35,07,09
214,21123,08,23,26,27,33,08,09
215,21122,14,15,26,27,29,04,05
216,21121,02,15,19,29,30,02,09
217,21120,05,10,21,25,31,05,11
218,21119,01,02,09,16,30,09,10
219,21118,14,17,18,28,34,02,03
220,21117,11,18,21,22,33,05,06
221,21116,04,25,28,29,35,03,11
222,21115,08,13,19,20,29,06,10
223,21114,08,09,13,29,30,01,11
224,21113,17,18,25,27,28,04,08
225,21112,18,21,22,23,35,11,12
226,21111,07,08,15,19,28,08,09
227,21110,11,14,29,31,32,11,12
228,21109,03,04,07,27,31,06,09
229,21108,05,19,22,26,35,02,06
230,21107,03,05,13,20,25,07,11
231,21106,02,13,14,32,34,02,12
232,21105,07,10,11,17,18,04,09
233,21104,23,25,26,30,33,03,11
234,21103,04,10,23,30,31,05,11
235,21102,02,08,11,16,23,02,07
236,21101,13,18,19,27,32,06,11
237,21100,07,11,23,26,28,02,07
238,21099,15,19,27,28,30,03,04
239,21098,02,07,21,27,33,07,09
240,21097,11,26,30,31,33,03,10
241,21096,07,08,10,20,21,01,05
242,21095,10,15,19,20,30,11,12
243,21094,05,06,24,27,33,05,12
244,21093,20,25,27,28,31,08,11
245,21092,12,14,27,28,34,03,07
246,21091,01,04,10,21,29,03,05
247,21090,06,07,19,26,32,06,12
248,21089,01,17,24,28,35,10,12
249,21088,02,14,31,34,35,01,07
250,21087,10,14,15,25,28,03,10
251,21086,02,03,07,16,17,06,10
252,21085,01,12,15,26,35,10,11
253,21084,02,10,14,30,33,06,09
254,21083,07,09,11,26,35,01,08
255,21082,01,14,22,29,33,03,10
256,21081,05,13,24,29,35,07,08
257,21080,15,16,20,29,30,06,10
258,21079,06,14,19,26,33,08,11
259,21078,02,08,17,19,25,01,05
260,21077,02,06,09,21,25,06,08
261,21076,06,13,22,25,26,02,04
262,21075,06,14,15,17,20,01,05
263,21074,11,14,18,20,25,03,07
264,21073,08,12,14,20,24,06,10
265,21072,02,03,15,22,26,03,11
266,21071,08,11,16,29,35,01,04
267,21070,03,20,21,22,24,06,12
268,21069,01,03,24,32,33,04,06
269,21068,02,20,21,26,30,02,10
270,21067,01,04,22,23,34,08,09
271,21066,24,26,29,34,35,09,11
272,21065,23,25,30,31,35,07,08
273,21064,01,17,19,32,34,06,10
274,21063,05,09,14,29,30,09,11
275,21062,04,06,23,32,34,05,07
276,21061,15,19,20,26,32,04,07
277,21060,09,13,25,31,33,03,07
278,21059,04,16,27,28,35,02,09
279,21058,13,15,17,23,34,01,11
280,21057,05,07,19,20,28,05,07
281,21056,03,11,16,21,26,09,10
282,21055,03,06,10,11,24,10,11
283,21054,03,06,17,20,25,03,09
284,21053,03,06,15,17,35,07,11
285,21052,02,11,13,14,30,09,12
286,21051,01,04,14,16,19,03,04
287,21050,09,22,32,33,35,05,10
288,21049,01,10,22,23,25,02,12
289,21048,04,07,17,21,27,10,12
290,21047,01,06,09,25,33,04,08
291,21046,06,08,12,14,18,06,08
292,21045,01,04,06,11,19,07,09
293,21044,06,18,31,33,35,10,11
294,21043,07,12,17,19,34,01,10
295,21042,09,15,20,23,29,04,05
296,21041,02,05,09,11,32,04,09
297,21040,02,03,09,16,19,03,07
298,21039,04,12,14,21,35,02,11
299,21038,09,11,20,29,32,01,07
300,21037,10,21,27,29,33,04,12
301,21036,08,17,25,28,33,07,11
302,21035,05,11,16,30,32,03,04
303,21034,08,10,14,25,34,07,08
304,21033,01,03,05,30,32,01,05
305,21032,01,11,14,34,35,07,10
306,21031,01,04,19,20,34,03,05
307,21030,18,23,25,26,32,02,07
308,21029,02,06,10,32,33,04,07
309,21028,02,03,05,17,29,04,10
310,21027,09,21,22,26,30,04,12
311,21026,07,11,20,24,27,01,11
312,21025,17,18,23,30,31,10,12
313,21024,11,14,21,24,31,02,10
314,21023,07,09,13,16,32,02,09
315,21022,02,12,22,30,33,02,04
316,21021,16,18,29,33,35,09,12
317,21020,07,21,22,30,33,04,06
318,21019,01,12,13,28,29,03,04
319,21018,02,20,23,26,34,05,10
320,21017,17,21,26,29,32,02,07
321,21016,08,09,10,19,34,01,02
322,21015,04,08,17,19,25,01,07
323,21014,07,13,20,27,29,04,09
324,21013,21,27,28,30,34,08,11
325,21012,06,12,20,23,33,01,09
326,21011,06,09,11,14,21,01,03
327,21010,01,05,16,22,34,08,11
328,21009,01,03,20,29,32,05,12
329,21008,05,19,20,27,33,03,08
330,21007,05,23,30,34,35,08,10
331,21006,04,22,25,28,35,04,05
332,21005,03,07,10,12,35,03,05
333,21004,05,10,17,23,28,02,08
334,21003,07,21,28,31,35,04,10
335,21002,02,16,26,31,34,09,11
336,21001,02,06,12,19,33,08,09
337,20134,08,11,13,22,25,04,07
338,20133,11,24,26,33,35,08,09
339,20132,03,15,16,17,21,07,10
340,20131,08,25,27,29,35,02,03
341,20130,16,17,23,26,32,02,12
342,20129,10,22,27,33,34,01,11
343,20128,09,12,13,26,33,04,10
344,20127,01,04,17,18,26,03,10
345,20126,01,04,09,22,28,04,12
346,20125,01,02,03,08,22,01,04
347,20124,11,15,24,26,35,04,05
348,20123,01,07,11,15,21,04,11
349,20122,08,19,29,34,35,06,11
350,20121,09,17,27,28,35,03,08
351,20120,05,25,26,30,35,04,10
