,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
725,18050,22,24,26,34,35,06,12
726,18049,04,07,09,10,13,06,12
727,18048,02,03,11,20,25,02,07
728,18047,03,08,10,14,20,04,08
729,18046,10,20,22,29,32,05,10
730,18045,02,05,20,30,35,05,09
731,18044,02,04,06,18,21,05,08
732,18043,03,06,13,28,33,04,11
733,18042,03,19,25,29,35,05,09
734,18041,01,23,25,31,33,01,12
735,18040,05,07,18,27,31,01,08
736,18039,02,07,14,29,32,10,11
737,18038,14,23,25,31,32,01,03
738,18037,01,03,27,30,31,02,11
739,18036,11,17,18,21,27,07,08
740,18035,05,07,10,12,24,07,11
741,18034,08,11,22,27,32,03,07
742,18033,02,03,19,23,34,04,09
743,18032,07,10,17,32,35,05,12
744,18031,03,08,13,17,23,05,11
745,18030,05,18,21,28,32,09,11
746,18029,03,09,21,25,29,01,08
747,18028,04,19,25,30,35,04,07
748,18027,01,18,20,21,26,04,11
749,18026,01,02,03,04,30,03,05
750,18025,07,08,09,15,34,07,08
751,18024,02,16,24,30,32,04,07
752,18023,12,13,18,21,29,02,08
753,18022,02,10,19,33,35,05,06
754,18021,05,06,08,09,15,04,11
755,18020,01,10,13,14,21,09,12
756,18019,10,11,19,21,28,05,12
757,18018,06,08,13,24,28,06,12
758,18017,04,19,21,23,31,04,09
759,18016,01,02,12,13,23,09,12
760,18015,04,13,15,18,29,05,11
761,18014,14,16,18,24,31,01,08
762,18013,08,24,31,33,35,07,10
763,18012,03,22,24,29,34,07,11
764,18011,03,13,15,23,26,01,10
765,18010,24,25,26,28,29,04,12
766,18009,10,12,28,30,34,03,04
767,18008,09,15,17,20,22,10,11
768,18007,03,04,28,31,34,04,11
769,18006,19,20,30,32,33,03,05
770,18005,04,09,23,24,30,08,11
771,18004,04,09,22,28,30,01,10
772,18003,04,21,23,24,30,09,10
773,18002,12,20,23,27,34,01,06
774,18001,01,13,22,25,35,03,04
775,17153,01,09,24,26,34,09,12
776,17152,02,04,07,23,28,02,08
777,17151,05,06,23,28,32,04,05
778,17150,03,06,10,13,18,09,11
779,17149,10,18,19,25,26,04,12
780,17148,19,27,31,32,35,11,12
781,17147,05,16,17,25,34,01,11
782,17146,01,05,11,14,35,09,10
783,17145,04,07,17,18,19,03,10
784,17144,03,21,23,29,32,10,11
785,17143,06,09,24,29,32,02,07
786,17142,01,05,16,19,28,02,10
787,17141,02,08,21,22,29,03,05
788,17140,10,16,25,26,29,01,05
789,17139,02,06,19,25,32,09,12
790,17138,04,07,09,20,25,02,11
791,17137,01,20,22,28,29,05,07
792,17136,01,11,20,21,22,03,04
793,17135,01,12,15,19,22,02,04
794,17134,07,18,19,32,34,02,10
795,17133,15,17,19,32,33,01,03
796,17132,11,17,23,26,27,01,10
797,17131,03,05,08,19,34,01,12
798,17130,05,18,28,33,34,03,04
799,17129,05,17,20,32,33,04,09
800,17128,09,11,13,18,33,02,03
801,17127,02,15,18,21,22,03,10
802,17126,03,04,13,24,33,01,11
803,17125,07,11,18,26,28,04,05
804,17124,03,29,30,32,35,03,08
805,17123,03,15,23,26,32,01,12
806,17122,03,12,18,29,34,03,11
807,17121,01,06,12,26,31,01,07
808,17120,08,15,24,26,27,05,06
809,17119,05,07,13,29,35,03,08
810,17118,02,07,16,20,33,03,11
811,17117,05,07,09,24,32,08,10
812,17116,02,27,30,32,33,01,03
813,17115,14,19,20,25,31,06,08
814,17114,06,07,12,18,23,01,12
815,17113,05,08,17,18,23,04,12
816,17112,05,06,20,31,32,06,12
817,17111,02,14,17,26,34,08,12
818,17110,10,14,20,21,35,02,05
819,17109,06,09,19,26,34,05,07
820,17108,01,04,15,21,22,04,09
821,17107,04,10,19,25,27,06,12
822,17106,09,12,18,23,29,02,04
823,17105,04,15,22,24,32,02,09
824,17104,09,11,22,27,30,09,11
825,17103,04,19,20,24,29,03,04
826,17102,01,12,23,24,29,08,12
827,17101,05,15,21,25,29,05,08
828,17100,02,05,18,19,31,01,09
829,17099,08,09,17,18,24,03,07
830,17098,06,09,17,30,35,10,11
831,17097,07,14,19,22,34,07,12
832,17096,03,07,09,17,28,04,12
833,17095,15,32,33,34,35,03,12
834,17094,03,05,08,29,33,04,08
835,17093,05,06,17,21,29,02,04
836,17092,03,07,09,17,34,04,05
837,17091,01,05,07,16,19,03,12
838,17090,03,06,15,22,35,09,11
839,17089,03,05,06,15,18,03,10
840,17088,05,28,31,34,35,08,09
841,17087,03,14,21,29,35,02,06
842,17086,12,15,18,22,31,01,08
843,17085,09,13,14,25,30,02,05
844,17084,06,11,14,21,31,09,12
845,17083,02,05,14,22,34,03,09
846,17082,05,13,20,21,25,08,09
847,17081,02,12,15,20,34,01,06
848,17080,08,10,21,30,31,02,05
849,17079,01,17,19,32,33,02,11
850,17078,04,05,27,31,34,03,06
851,17077,01,03,04,25,31,06,09
852,17076,02,07,25,30,35,07,12
853,17075,05,11,16,18,35,01,06
854,17074,08,10,11,13,17,08,11
855,17073,07,18,28,31,33,01,02
856,17072,01,03,29,32,34,02,05
857,17071,01,04,11,14,33,05,07
858,17070,06,16,18,26,30,02,03
859,17069,10,16,20,23,32,08,11
860,17068,07,08,19,24,27,06,07
861,17067,10,17,18,32,35,10,11
862,17066,11,15,23,26,30,02,11
863,17065,05,11,12,19,28,05,12
864,17064,01,08,20,27,30,03,04
865,17063,18,21,22,24,29,05,11
866,17062,01,04,06,08,28,08,12
867,17061,10,19,23,25,30,02,04
868,17060,09,15,20,26,31,05,12
869,17059,08,11,13,15,17,03,10
870,17058,14,18,20,21,28,03,06
871,17057,12,16,19,23,24,02,05
872,17056,01,04,24,27,32,03,10
873,17055,19,20,22,30,33,03,09
874,17054,16,29,30,32,33,04,05
875,17053,06,19,20,22,26,01,11
876,17052,03,19,24,28,33,04,12
877,17051,14,17,18,22,29,10,11
878,17050,12,14,17,20,28,02,06
879,17049,09,12,14,22,31,05,08
880,17048,07,09,13,15,19,03,10
881,17047,15,19,32,33,34,09,12
882,17046,04,17,20,23,30,02,03
883,17045,01,08,11,21,35,09,12
884,17044,11,16,17,18,25,02,09
885,17043,06,13,22,25,35,09,12
886,17042,02,17,31,33,34,01,07
887,17041,02,04,06,25,31,05,09
888,17040,04,06,10,23,29,09,11
889,17039,05,06,14,17,26,03,08
890,17038,04,05,13,18,27,03,09
891,17037,13,15,16,32,34,06,11
892,17036,01,04,09,18,33,02,05
893,17035,14,17,22,30,33,07,12
894,17034,06,12,21,26,29,02,11
895,17033,15,22,23,25,34,05,11
896,17032,02,13,14,18,29,03,09
897,17031,02,16,17,30,32,02,09
898,17030,21,22,24,29,34,05,06
899,17029,01,06,14,17,29,01,11
900,17028,06,18,22,23,33,09,11
901,17027,08,17,25,33,34,03,11
902,17026,10,14,19,25,32,02,07
903,17025,10,16,19,20,34,04,05
904,17024,21,23,29,32,35,11,12
905,17023,05,08,12,24,34,07,10
906,17022,02,03,09,17,24,06,12
907,17021,01,15,17,20,26,06,08
908,17020,16,21,24,27,28,04,07
909,17019,02,06,14,23,25,02,10
910,17018,06,07,10,17,23,01,09
911,17017,04,19,24,26,29,04,06
912,17016,03,13,28,30,33,09,10
913,17015,01,07,19,27,34,01,02
914,17014,04,08,15,24,25,02,05
915,17013,05,12,17,30,34,11,12
916,17012,04,05,24,26,35,07,12
917,17011,05,15,21,29,34,06,09
918,17010,04,10,13,18,35,01,02
919,17009,05,06,08,12,22,03,04
920,17008,03,04,09,25,32,02,04
921,17007,08,11,17,25,27,02,04
922,17006,04,06,23,32,33,05,06
923,17005,05,09,20,26,35,02,11
924,17004,05,08,11,28,31,06,07
925,17003,03,05,06,13,22,09,12
926,17002,07,12,14,31,34,09,11
927,17001,07,09,20,31,33,08,10
928,16154,06,16,17,21,29,04,06
929,16153,13,18,25,29,35,03,11
930,16152,08,17,22,24,30,05,11
931,16151,04,07,11,14,21,05,12
932,16150,01,10,18,24,29,07,10
933,16149,01,02,03,12,33,04,09
934,16148,05,14,15,23,25,06,08
935,16147,07,19,20,28,30,04,12
936,16146,21,22,25,29,34,01,11
937,16145,01,09,11,17,28,03,08
938,16144,04,05,13,22,31,05,10
939,16143,04,06,22,27,31,06,07
940,16142,01,06,17,23,26,06,12
941,16141,02,06,07,19,28,11,12
942,16140,12,16,23,29,34,04,11
943,16139,13,21,30,31,35,01,08
944,16138,12,13,16,29,35,05,11
945,16137,07,20,23,29,34,02,10
946,16136,05,06,07,19,23,04,11
947,16135,01,10,12,18,35,01,12
948,16134,01,03,31,32,34,02,07
949,16133,01,04,05,23,28,05,09
950,16132,04,18,19,22,35,01,02
951,16131,06,13,25,28,30,02,07
952,16130,11,23,32,33,34,01,12
953,16129,07,08,19,30,35,08,09
954,16128,17,20,22,30,33,07,08
955,16127,01,05,15,24,26,09,10
956,16126,11,13,16,19,24,06,08
957,16125,06,07,08,28,30,01,02
958,16124,04,13,24,26,29,08,11
959,16123,04,05,13,20,32,01,10
960,16122,01,03,12,14,29,02,06
961,16121,04,05,08,15,20,01,06
962,16120,03,10,20,32,34,04,07
963,16119,02,03,09,21,22,05,10
964,16118,12,15,18,24,29,03,11
965,16117,03,09,14,16,23,02,09
966,16116,04,06,08,19,34,10,12
967,16115,01,04,15,31,34,02,11
968,16114,16,17,20,32,33,03,07
969,16113,10,11,17,30,34,03,12
970,16112,07,22,23,31,32,04,05
971,16111,04,09,22,26,27,02,12
972,16110,07,20,21,23,30,07,10
973,16109,03,25,28,31,34,11,12
974,16108,10,17,22,23,25,07,09
975,16107,02,06,19,24,26,04,06
976,16106,03,21,30,33,35,01,04
977,16105,08,11,31,34,35,01,02
978,16104,01,20,22,23,30,06,07
979,16103,05,14,20,23,29,03,11
980,16102,03,05,06,34,35,03,12
981,16101,04,06,28,33,35,07,12
982,16100,08,12,19,26,30,02,12
983,16099,03,04,12,14,27,01,05
984,16098,08,09,11,20,29,04,05
985,16097,06,08,18,31,33,10,12
986,16096,01,06,08,12,21,05,10
987,16095,08,12,18,19,21,03,06
988,16094,01,14,16,17,18,05,07
989,16093,01,08,14,30,35,06,07
990,16092,02,13,31,33,34,07,11
991,16091,08,13,17,21,22,02,08
992,16090,04,06,08,28,32,07,12
993,16089,07,14,17,28,34,07,10
994,16088,04,06,17,21,30,06,11
995,16087,03,16,17,23,25,07,09
996,16086,03,05,22,25,30,07,09
997,16085,14,15,27,31,32,01,07
998,16084,08,12,15,26,35,01,08
999,16083,01,05,09,33,35,01,05
1000,16082,03,08,23,28,29,02,07
1001,16081,06,07,18,21,33,03,08
1002,16080,15,20,29,30,33,07,12
1003,16079,07,14,15,20,27,05,10
1004,16078,07,18,29,31,35,05,11
1005,16077,09,11,14,16,35,02,05
1006,16076,03,08,10,17,31,05,06
1007,16075,03,07,17,22,31,08,12
1008,16074,01,05,07,11,14,03,08
1009,16073,07,14,17,24,27,08,10
1010,16072,16,20,24,26,31,04,09
1011,16071,08,15,19,20,33,07,12
1012,16070,02,09,13,19,23,05,07
1013,16069,14,17,19,23,30,02,09
1014,16068,05,07,22,26,34,07,12
1015,16067,02,08,11,13,19,02,08
1016,16066,10,28,29,31,33,05,11
1017,16065,01,09,18,22,24,11,12
1018,16064,01,02,10,18,35,05,11
1019,16063,08,12,22,27,35,05,09
1020,16062,02,10,14,15,35,01,09
1021,16061,09,15,17,21,23,07,12
1022,16060,02,06,22,27,34,08,11
1023,16059,02,10,27,28,33,05,07
1024,16058,02,15,17,23,28,05,09
1025,16057,08,17,19,23,30,03,08
1026,16056,10,12,14,31,35,04,05
1027,16055,06,21,27,30,34,04,09
1028,16054,02,05,09,21,30,06,07
1029,16053,04,13,15,30,35,03,05
1030,16052,08,14,19,20,33,10,11
1031,16051,16,21,23,24,32,07,08
1032,16050,07,17,21,29,35,04,05
1033,16049,03,04,05,27,33,04,09
1034,16048,04,12,17,25,27,04,10
1035,16047,02,03,23,29,32,05,09
1036,16046,03,19,22,32,34,08,12
1037,16045,07,11,25,30,33,02,08
1038,16044,01,06,10,20,31,05,11
1039,16043,01,09,16,33,34,09,12
1040,16042,02,06,08,19,24,01,06
1041,16041,12,23,24,27,34,03,06
1042,16040,20,22,29,30,35,01,06
1043,16039,01,08,16,22,28,04,05
1044,16038,03,07,09,15,33,05,12
1045,16037,03,05,13,24,34,03,05
1046,16036,07,15,26,30,31,03,06
1047,16035,17,22,24,25,29,09,12
1048,16034,14,18,31,32,35,09,10
1049,16033,03,14,15,31,35,09,10
1050,16032,05,09,14,20,33,05,12
1051,16031,03,14,24,27,29,04,11
1052,16030,10,19,21,29,33,04,06
1053,16029,20,26,27,29,32,05,12
1054,16028,13,18,20,23,31,03,06
1055,16027,06,11,13,15,28,02,06
1056,16026,02,06,29,30,34,01,07
1057,16025,03,06,13,23,24,07,10
1058,16024,01,02,11,15,18,04,08
1059,16023,04,09,14,25,27,06,11
1060,16022,04,18,21,30,35,02,11
1061,16021,01,04,09,10,35,09,11
1062,16020,01,16,22,29,30,02,09
1063,16019,04,11,15,20,26,08,09
1064,16018,05,10,13,27,33,08,11
1065,16017,11,18,24,28,29,05,10
1066,16016,03,10,22,29,32,02,05
1067,16015,01,04,10,13,30,03,09
1068,16014,06,08,21,24,27,02,10
1069,16013,03,21,23,31,35,02,11
1070,16012,05,07,11,23,28,03,12
1071,16011,02,08,10,15,23,05,10
1072,16010,12,13,15,16,28,02,05
1073,16009,05,08,10,17,20,02,12
1074,16008,05,12,31,34,35,04,05
1075,16007,02,05,14,32,35,01,03
1076,16006,14,16,17,22,24,02,09
1077,16005,06,09,12,15,20,08,11
1078,16004,10,20,23,32,35,09,10
1079,16003,04,12,17,22,26,06,07
1080,16002,07,12,18,25,35,07,09
1081,16001,01,07,19,20,30,05,10
1082,15153,01,07,22,27,33,02,11
1083,15152,04,05,22,29,35,02,11
1084,15151,15,16,18,30,35,01,07
1085,15150,04,13,18,25,33,03,07
1086,15149,04,06,10,12,28,02,08
1087,15148,08,11,27,31,33,08,09
1088,15147,01,02,13,18,19,08,10
1089,15146,04,15,19,27,31,04,11
1090,15145,06,07,20,29,32,11,12
1091,15144,01,09,24,26,29,06,11
1092,15143,09,20,31,33,35,10,11
1093,15142,12,14,22,26,30,03,06
1094,15141,02,04,15,19,31,02,03
1095,15140,01,11,15,26,35,06,11
1096,15139,02,03,05,25,32,05,07
1097,15138,01,16,20,29,32,04,07
1098,15137,14,17,21,23,26,08,11
1099,15136,05,20,23,29,32,02,10
1100,15135,05,16,20,25,29,06,08
1101,15134,01,02,06,15,35,04,07
1102,15133,03,07,08,25,30,04,08
1103,15132,03,08,14,18,27,01,05
1104,15131,11,17,19,20,27,02,03
1105,15130,17,25,31,32,34,02,12
1106,15129,01,06,23,25,29,03,09
1107,15128,10,12,23,30,32,03,04
1108,15127,09,11,14,19,30,03,08
1109,15126,04,05,08,09,21,03,06
1110,15125,02,03,15,17,28,08,10
1111,15124,04,06,12,31,32,03,06
1112,15123,04,15,27,29,30,02,10
1113,15122,11,13,15,26,35,06,11
1114,15121,02,04,17,27,28,04,06
1115,15120,01,09,15,24,32,05,10
1116,15119,01,08,12,16,21,06,11
1117,15118,03,07,20,24,31,04,09
1118,15117,06,17,20,30,33,10,11
1119,15116,07,10,19,24,33,03,07
1120,15115,08,12,13,14,16,03,09
1121,15114,09,18,24,31,34,02,10
1122,15113,01,14,21,29,33,02,10
1123,15112,04,05,15,19,28,04,11
1124,15111,07,08,16,24,28,03,10
1125,15110,02,07,10,22,30,07,11
1126,15109,01,06,11,22,31,03,12
1127,15108,01,13,16,26,31,07,12
1128,15107,03,23,25,28,29,06,07
1129,15106,02,11,13,22,30,02,03
1130,15105,08,09,15,21,27,05,09
1131,15104,16,19,25,30,34,04,09
1132,15103,07,09,15,25,34,04,10
1133,15102,11,14,15,33,34,03,12
1134,15101,06,12,17,18,32,07,12
1135,15100,09,15,18,23,32,05,07
1136,15099,09,12,14,22,25,05,10
1137,15098,09,14,21,27,33,06,09
1138,15097,04,16,17,26,27,01,04
1139,15096,03,09,12,18,21,02,06
1140,15095,08,14,26,34,35,05,10
1141,15094,02,03,10,11,29,03,07
1142,15093,16,17,25,26,27,02,04
1143,15092,02,14,21,27,34,05,08
1144,15091,02,07,28,29,30,03,07
1145,15090,06,09,11,17,21,06,08
1146,15089,05,12,18,20,27,10,12
1147,15088,05,15,28,31,34,11,12
1148,15087,02,05,15,17,22,01,11
1149,15086,05,09,11,15,32,04,09
1150,15085,02,03,04,06,16,03,12
1151,15084,10,20,21,32,34,06,07
1152,15083,14,16,19,25,29,10,12
1153,15082,08,15,28,31,33,03,06
1154,15081,03,04,10,13,17,05,09
1155,15080,14,20,29,30,32,03,08
1156,15079,01,09,17,23,24,04,05
1157,15078,19,24,26,28,33,01,02
1158,15077,01,16,17,22,28,02,09
1159,15076,03,19,21,31,34,05,12
1160,15075,13,14,26,27,33,10,12
1161,15074,01,12,21,27,33,04,09
1162,15073,09,26,27,30,34,01,06
1163,15072,19,20,21,31,33,09,10
1164,15071,04,06,13,16,34,04,10
1165,15070,03,09,12,17,18,04,12
1166,15069,02,09,11,22,25,01,07
1167,15068,02,03,20,31,35,04,08
1168,15067,04,10,18,24,27,04,11
1169,15066,01,03,07,13,29,02,10
1170,15065,04,05,07,13,35,08,11
1171,15064,02,08,20,28,31,07,10
1172,15063,01,04,06,34,35,02,04
1173,15062,06,07,13,14,15,01,04
1174,15061,06,07,08,16,22,02,10
1175,15060,16,24,25,26,33,04,11
1176,15059,07,09,19,23,32,01,03
1177,15058,10,14,20,27,30,07,12
1178,15057,01,05,07,14,26,04,06
1179,15056,06,12,19,26,35,03,10
1180,15055,06,11,14,20,30,05,10
1181,15054,02,09,15,24,34,03,09
1182,15053,08,25,28,29,32,04,07
1183,15052,13,19,24,27,29,07,08
1184,15051,01,02,11,16,21,01,05
1185,15050,06,07,10,20,28,02,07
1186,15049,08,09,11,15,22,08,10
1187,15048,10,11,22,24,33,02,09
1188,15047,01,02,17,23,31,05,12
1189,15046,05,07,10,22,26,04,10
1190,15045,08,09,22,29,30,08,12
1191,15044,16,18,27,31,33,01,03
1192,15043,02,20,22,25,29,02,07
1193,15042,03,07,12,17,24,02,11
1194,15041,01,11,21,23,28,01,10
1195,15040,02,09,10,23,35,09,12
1196,15039,03,06,07,16,25,01,06
1197,15038,12,19,22,31,35,07,08
1198,15037,10,16,21,28,31,07,08
1199,15036,14,18,20,23,24,04,08
1200,15035,22,24,29,30,35,01,10
1201,15034,04,08,15,18,26,05,09
1202,15033,03,17,22,26,28,03,07
1203,15032,06,21,25,27,30,07,11
1204,15031,07,21,29,32,33,04,12
1205,15030,09,18,19,26,31,02,05
1206,15029,07,10,19,30,35,03,05
1207,15028,03,09,28,32,33,09,10
1208,15027,05,21,22,25,28,03,10
1209,15026,11,13,14,15,22,02,08
1210,15025,07,10,20,22,27,10,11
1211,15024,02,06,08,16,34,03,04
1212,15023,06,09,11,12,22,03,11
1213,15022,09,11,14,15,26,11,12
1214,15021,22,23,24,26,31,05,06
1215,15020,11,26,28,29,32,01,04
1216,15019,02,08,16,22,24,01,03
1217,15018,04,07,10,23,31,03,07
1218,15017,07,13,16,17,29,01,07
1219,15016,06,07,16,20,34,09,11
1220,15015,01,05,13,17,32,04,11
1221,15014,08,16,25,29,35,03,10
1222,15013,11,15,25,28,35,07,10
1223,15012,03,04,06,11,31,05,09
1224,15011,04,13,22,25,30,01,06
1225,15010,02,06,17,30,35,02,07
1226,15009,17,22,26,27,33,06,10
1227,15008,07,10,11,15,17,03,10
1228,15007,02,07,08,14,31,04,08
1229,15006,06,08,30,32,33,03,07
1230,15005,11,14,15,18,19,07,08
1231,15004,03,12,14,18,28,05,06
1232,15003,12,19,27,28,34,01,12
1233,15002,03,14,20,26,32,06,10
1234,15001,08,09,19,27,30,06,07
1235,14154,05,12,17,23,28,02,09
1236,14153,01,08,13,24,32,05,10
1237,14152,05,12,18,24,33,01,05
1238,14151,03,08,26,31,32,08,12
1239,14150,19,21,30,33,35,05,07
1240,14149,02,13,19,26,35,01,05
1241,14148,03,09,10,11,20,07,09
1242,14147,05,09,14,26,34,02,09
1243,14146,02,16,23,24,28,10,11
1244,14145,15,19,22,24,26,10,11
1245,14144,01,21,24,25,35,04,11
1246,14143,01,11,14,18,25,06,10
1247,14142,18,21,25,28,30,04,06
1248,14141,04,17,20,26,29,05,08
1249,14140,01,19,20,25,34,07,12
1250,14139,03,05,07,15,34,01,10
1251,14138,01,07,29,32,34,09,12
1252,14137,02,11,16,22,34,02,05
1253,14136,04,18,20,34,35,07,11
1254,14135,20,26,28,30,35,09,12
1255,14134,02,05,07,11,32,09,12
1256,14133,02,08,12,14,18,04,12
1257,14132,01,03,04,19,32,01,07
1258,14131,03,16,19,23,27,03,07
1259,14130,02,18,31,32,33,05,07
1260,14129,07,22,28,30,32,05,06
1261,14128,02,04,16,22,34,08,11
1262,14127,02,04,06,15,19,02,11
1263,14126,02,09,22,30,34,09,10
1264,14125,12,15,19,23,31,04,10
1265,14124,01,03,28,29,35,08,12
1266,14123,01,09,12,22,25,02,09
1267,14122,03,10,25,26,35,01,07
1268,14121,13,16,18,22,32,08,10
1269,14120,01,04,06,18,33,05,11
1270,14119,04,08,09,13,18,08,12
1271,14118,02,03,23,24,26,05,11
1272,14117,03,14,17,18,33,06,09
1273,14116,06,13,15,24,27,04,05
1274,14115,01,05,26,29,30,02,10
1275,14114,03,16,24,30,33,05,08
1276,14113,02,13,17,19,23,01,06
1277,14112,03,05,14,18,32,02,10
1278,14111,11,16,18,20,29,03,04
1279,14110,09,18,19,22,24,08,11
1280,14109,15,18,20,21,23,01,02
1281,14108,01,02,13,23,35,09,12
1282,14107,05,13,14,21,34,08,10
1283,14106,05,09,11,20,22,05,11
1284,14105,04,10,26,29,32,04,08
1285,14104,07,13,14,28,32,04,11
1286,14103,14,20,23,25,26,10,12
1287,14102,01,07,14,19,20,03,12
1288,14101,09,10,12,17,28,03,11
1289,14100,02,04,08,12,35,01,07
1290,14099,15,21,22,23,33,01,07
1291,14098,16,18,22,25,35,03,10
1292,14097,03,15,20,21,23,07,09
1293,14096,03,07,21,23,31,05,10
1294,14095,06,22,30,31,34,05,06
1295,14094,13,14,24,25,34,04,07
1296,14093,03,08,30,32,34,09,11
1297,14092,02,18,27,30,32,05,11
1298,14091,10,16,18,29,32,02,07
1299,14090,02,03,20,23,28,06,08
1300,14089,02,08,12,29,30,07,12
1301,14088,07,13,20,25,26,08,11
1302,14087,04,07,31,33,35,09,10
1303,14086,06,08,27,29,35,03,09
1304,14085,06,12,13,25,29,11,12
1305,14084,02,07,09,11,28,05,09
1306,14083,18,20,24,33,35,05,10
1307,14082,01,08,18,23,25,08,12
1308,14081,03,05,08,10,25,09,12
1309,14080,17,20,23,25,27,03,10
1310,14079,09,10,20,31,32,06,10
1311,14078,10,15,16,22,28,04,05
1312,14077,09,16,26,31,32,01,05
1313,14076,05,10,19,31,32,09,10
1314,14075,05,07,29,32,35,04,10
1315,14074,06,11,22,27,30,05,11
1316,14073,04,05,07,13,35,05,06
1317,14072,17,19,22,24,30,02,09
1318,14071,04,14,15,22,23,01,07
1319,14070,01,02,07,10,32,04,12
1320,14069,16,22,27,29,31,02,09
1321,14068,05,15,24,29,35,05,06
1322,14067,03,18,23,24,31,03,07
1323,14066,08,14,16,20,31,03,11
1324,14065,07,12,19,31,33,07,12
1325,14064,08,15,33,34,35,01,08
1326,14063,11,17,21,23,34,03,04
1327,14062,04,07,17,24,25,02,04
1328,14061,04,11,17,20,29,06,10
1329,14060,12,22,29,30,34,05,11
1330,14059,07,15,17,25,29,04,11
1331,14058,09,15,22,24,26,02,07
1332,14057,08,10,20,27,33,01,09
1333,14056,12,18,28,29,35,07,08
1334,14055,04,23,26,27,35,10,11
1335,14054,02,03,20,25,34,01,12
1336,14053,02,11,17,27,30,03,04
1337,14052,14,19,21,24,30,02,07
1338,14051,01,07,11,29,30,03,11
1339,14050,10,18,27,28,35,01,06
1340,14049,03,15,17,22,31,03,05
1341,14048,01,02,05,15,35,01,11
1342,14047,06,17,18,30,34,06,12
1343,14046,03,15,18,21,26,01,06
1344,14045,06,10,12,16,30,02,11
1345,14044,22,23,25,27,35,03,11
1346,14043,01,11,23,29,30,01,12
1347,14042,16,21,25,27,35,06,11
1348,14041,05,07,11,15,18,05,12
1349,14040,12,15,21,30,33,02,08
1350,14039,02,05,11,15,20,08,11
1351,14038,07,08,12,20,32,03,05
1352,14037,03,04,08,19,34,02,04
1353,14036,01,02,12,17,29,03,08
1354,14035,09,12,14,28,29,03,10
1355,14034,03,11,14,27,32,05,07
1356,14033,01,07,08,28,29,04,08
1357,14032,02,05,06,09,31,02,09
1358,14031,06,15,27,32,33,03,04
1359,14030,03,14,18,29,35,11,12
1360,14029,03,21,22,23,35,05,09
1361,14028,03,10,20,25,30,10,12
1362,14027,09,10,24,28,29,10,12
1363,14026,05,10,12,15,26,04,08
1364,14025,19,20,27,32,34,06,08
1365,14024,07,11,15,31,32,06,11
1366,14023,04,13,15,29,33,05,09
1367,14022,03,06,10,16,25,10,11
1368,14021,06,10,17,23,24,03,09
1369,14020,01,14,17,30,35,06,07
1370,14019,07,12,22,29,32,11,12
1371,14018,08,09,12,28,34,02,12
1372,14017,05,10,11,23,34,01,10
1373,14016,04,06,13,24,34,04,09
1374,14015,04,06,18,20,30,05,07
1375,14014,01,09,11,27,29,03,11
1376,14013,10,11,13,22,28,04,12
1377,14012,09,20,21,23,29,05,07
1378,14011,04,06,14,24,35,07,12
1379,14010,05,10,20,26,27,01,03
1380,14009,10,18,25,29,33,07,08
1381,14008,11,13,20,28,35,01,05
1382,14007,08,11,14,21,32,03,11
1383,14006,01,04,07,16,35,06,08
1384,14005,15,17,18,29,33,04,08
1385,14004,07,10,19,27,28,09,12
1386,14003,07,11,13,21,33,05,06
1387,14002,01,12,21,24,29,01,07
1388,14001,05,13,20,23,29,08,11
1389,13153,04,05,16,17,30,03,09
1390,13152,09,12,14,18,19,03,09
1391,13151,02,13,21,27,30,03,04
1392,13150,06,07,14,18,22,08,11
1393,13149,06,07,08,09,13,05,07
1394,13148,02,05,09,29,32,03,07
1395,13147,03,09,22,24,25,05,09
1396,13146,06,07,15,25,31,01,09
1397,13145,02,13,15,18,20,02,11
1398,13144,03,20,21,23,35,02,08
1399,13143,03,08,14,21,31,06,08
1400,13142,06,11,25,28,29,04,12
1401,13141,05,15,18,25,31,08,10
1402,13140,01,12,17,26,28,01,06
1403,13139,05,06,18,20,31,06,07
1404,13138,03,08,13,17,24,07,09
1405,13137,04,12,32,33,34,06,08
1406,13136,05,11,15,25,28,05,11
1407,13135,04,13,19,25,26,07,12
1408,13134,02,13,19,23,32,02,09
1409,13133,02,08,10,16,17,09,12
1410,13132,23,26,28,31,34,02,10
1411,13131,12,15,29,30,31,04,12
1412,13130,08,09,15,19,30,06,09
1413,13129,11,23,29,30,33,01,04
1414,13128,11,13,27,33,35,01,02
1415,13127,03,14,16,19,32,05,10
1416,13126,09,10,15,18,30,03,06
1417,13125,04,08,14,23,28,04,08
1418,13124,05,07,18,21,32,10,11
1419,13123,02,09,10,33,34,05,12
1420,13122,15,17,20,24,35,04,12
1421,13121,03,18,19,20,24,03,12
1422,13120,06,14,15,22,26,03,11
1423,13119,01,02,16,23,35,01,11
1424,13118,04,06,11,20,31,01,05
1425,13117,05,16,23,25,33,07,12
1426,13116,13,22,23,30,33,09,11
1427,13115,05,16,29,32,34,04,11
1428,13114,06,17,21,23,33,01,09
1429,13113,19,21,23,28,30,08,12
1430,13112,02,10,20,22,29,05,12
1431,13111,07,12,13,20,27,01,03
1432,13110,07,16,18,32,33,02,07
1433,13109,13,20,26,29,32,02,06
1434,13108,05,10,13,15,18,02,11
1435,13107,07,13,14,18,25,05,12
